,serial_number,User Name,URL,Post Created,combined_text,mention_other,mentioned_other,attack,target,description
378,7,houyuih,https://www.facebook.com/100044642490075/posts/920780692753339,2023-12-15 21:01:49 CST,鴨霸獨大貪腐，用選票制衡它！ 當年，人民給民進黨機會，不是要讓黑金貪腐猖獗，不是要讓政黨獨裁專制，更不是要讓派系控制台灣！既然民進黨執政，帶給人民的不是希望，而是一再失望，甚至絕望，那就讓侯友宜來改變！ 明年1月13日，讓我們一起，做出正確的選擇，下架貪腐無能的政府，實現政黨輪替，揭開民進黨執政7年多來的重重黑幕，揪出一件件見不得光的弊案，讓貪贓枉法現形，還給人民公平正義的台灣！ 2024，辦黑金，辦貪腐！,yes,民進黨,yes,民進黨,"Corruption, DPP overall bad"
356,29,houyuih,https://www.facebook.com/100044642490075/posts/922081372623271,2023-12-17 22:04:43 CST,從台灣尾，一路拚到台灣頭！一起贏回台灣的公平正義！ 感謝三萬名屏東鄉親，在周日的晚上，一起走上街頭，揮舞著國旗，高喊出我們改變的渴望，這八年，大家真的忍太久了，明年1月13日，讓我們用神聖的選票，下架貪腐無能的政府，還給全台灣人民一個公道！ 屏東是台灣的最南端，參選總統以來，我已經到屏東好幾次，因為我知道，還有好多南部的鄉親，還有好多話想對我說，更重要的是，期待我為台灣帶來改變，讓大家有更好的生活。 我承諾，未來會建置農業缺工人力平台，解決農業缺工問題，實現老人健保排富免費，老農津貼提升至1萬元，讓老有所依，並確保農漁產品順利外銷、拓展通路，守護農漁友的心血不白費，在觀光產業部分，更會全力拚，讓國際來台旅客人數達到1800萬，讓客機與商機，取代戰機跟危機！ 感謝屏東鄉親朋友們的熱情相挺，今晚馬英九前總統、朱立倫主席、蘇清泉院長、周典論議長、柯志恩、謝龍介、黃明賢 屏北立法委員參選人、盧縣一/Sasuyu/2024山地原住民立委參選人，以及所有的國民黨同志們，我們共同站在一起，展現團結一致的信念，不論經過多少風雨，我們永遠堅定目標，就是要完成政黨輪替，守護我們深愛的中華民國，讓台灣這片土地的人民，能有平安的好日子，大家逗陣行，一定會成功！,yes,柯,no,,
350,35,houyuih,https://www.facebook.com/100044642490075/posts/922566319241443,2023-12-18 17:52:09 CST,滿口美德是假，滿門桃花才是真！ 「貪汙、腐敗、好財色」，就是民進黨執政的寫照，人民給予民進黨機會，換來的卻是政府高官、黨政要員的道德淪喪，若身為公眾人物，私德禁不起檢視，手握大權又如何讓人信賴？身為民進黨主席的賴清德，選擇視若無睹，更是放任為所「慾」為的最大幫兇！ 既然民進黨不懂愛惜羽毛，踐踏人民託付，就讓他們深刻記取教訓！既然民進黨如此傲慢，我們就讓他們下台，好好檢討反省！ 2024，一起下架桃花黨！,yes,"民進黨, 賴",yes,"民進黨, 賴",
338,47,houyuih,https://www.facebook.com/100044642490075/posts/923247775839964,2023-12-19 21:04:59 CST,12月23日萬人上凱道力挺侯康配！台灣平安、人民侯康凱道造勢晚會！ 民進黨執政八年，政壇黑影幢幢，人民期待政黨輪替的心情已經沸騰！12月23日侯友宜、趙少康邀請全國支持侯康及國民黨的好朋友，前往凱達格蘭大道向民進黨發出怒吼，並陪同侯康踏上前進總統府的最後一哩路！ 台灣平安、人民侯康凱道造勢晚會！ 🔺時間：112年12月23日 晚間18:30開放進場 🔺地點：凱達格蘭大道 🔺電視轉播：東森超視、中視無線台 🔺網路直播：中天新聞YouTube頻道、ETtoday新聞雲Facebook粉絲專頁,yes,民進黨,yes,民進黨,
335,50,houyuih,https://www.facebook.com/100044642490075/posts/923584739139601,2023-12-20 11:27:35 CST,總統票投3，讓侯友宜做人民靠山！ 政黨票投9，讓中華民國長長久久！ 立委支持國民黨，下架貪腐民進黨！ 選擇清廉，拒絕貪腐；擁抱民主，打倒專制；走向和平，遠離戰爭。 三票國民黨，就是三項價值的選擇，明年113，台灣換新衫，做你的靠山！,yes,民進黨,yes,民進黨,
326,59,houyuih,https://www.facebook.com/100044642490075/posts/923895065775235,2023-12-20 23:27:24 CST,賴清德先生，你願意以蒼生為念，公開放棄你的台獨主張嗎？ 今天是總統大選的第一場政見發表會，在全國民眾面前，我當面向賴清德詢問了這個問題，這個問題，是攸關中華民國能否安全，台澎金馬這片土地的人民能否遠離戰事，最核心的關鍵，很遺憾，賴清德仍然不願回應，默認台獨立場，就是賴清德的答案。 現在人民的痛苦指數，已創下十年來新高，不僅貧富差距加大，經濟成長率也創14年來新低。而對於百姓生活陷入困境，賴清德為首的新潮流，卻是「吃銅吃鐵吃國家」，面對高端疫苗採購及炒股案、台南88槍案、學甲爐渣案、imB詐騙案、口罩及快篩之亂、進口雞蛋之亂、綠能開發弊案等，賴清德也選擇閃躲迴避，或是答非所問。 我今天在全國人民面前清楚承諾，未來在我領導下的中華民國，絕不會在主權上讓步，我反對一國兩制，也反對台獨，我將提升台灣自我防衛能力，備戰不啟戰，並在尊重現狀的基礎上，創造兩岸的互信與交流，降低衝突的風險，確保兩岸的和平。 我的中間路線，就是真正可以遠離衝突的和平路徑，而和平更是國家一切生存發展的基石，中華民國憲法，就是兩岸政治上的護國神山。讓人民走向和平，遠離戰爭，就是我跟賴清德先生，最大的不同。 我也向全體人民承諾，一定會在最短時間內，成立新的特偵組，不分顏色、不論官位，一案一案查清楚，絕不會縱容民進黨執政的這些弊案再發生，我作為國家的領導人，一定會重塑清廉、效能的政府，重建人民對政府的信任，還給人民一個公道。 而對於民進黨口口聲聲說，跟青年站在一起，實際上卻是放任高房價、高物價，壓得青年喘不過氣，讓年輕人不敢生、養不起，甚至看不到未來。我將實踐「青年五好康」政策，幫助青年輕鬆安居、安心生養、加薪圓夢、學費減壓、公共參與，帶給年輕人希望，就是帶給國家未來！ 民主需要制衡，否則就會向下沉淪，政黨需要輪替，不然就會一直舞弊，2024選舉，就是清廉與貪腐的選擇、正義與邪惡的對戰，讓我們一起，為了台灣這片土地、為了下一代的未來，做出正確的選擇，讓侯友宜來改變，打倒貪腐專制，讓中華民國走向和平，台灣人民平安永在。,yes,"民進黨, 賴",yes,"民進黨, 賴",Corruption
322,63,houyuih,https://www.facebook.com/100044642490075/posts/924262759071799,2023-12-21 14:42:11 CST,兩岸政見，安全優先！ 民進黨執政七年多，兩岸對話中斷，事務性協商對話停滯，無法確保台灣人民基本人權及各產業權益；共軍擾台頻率與強度增高，政府欠缺對話管道，無法管控風險；兩岸交流大幅下降，政府帶頭汙名化交流團體與民眾，造成雙方民間敵意升高；兩岸決策專斷下，政府決策缺乏監督，言行不一，所承諾的兩岸監督條例立法，更是毫無進展，造成兩岸政策的不穩定、不公開、不透明。 今天我所提出的兩岸政見，兩大目標為「捍衛國家安全」、「保障台灣人民人權」，我鄭重宣示，當選總統後，將開啟兩岸對話，優先談台灣民眾在大陸的人身自由，並將落實以下主張： 1. 運用兩岸兩會聯繫機制，杜絕台灣民眾被無理盤問、留置與騷擾。 2. 落實台灣民眾人身自由受限案件24小時通報。 3. 行政拘留案件納入兩岸司法互助協議。 而兩岸關係要向前推進，兩岸政策一定要贏得民眾信任，我也會建立「三個監督管道」，讓兩岸政策做到廣納社會意見，落實公開透明，確保兩岸關係進展，符合台灣最大多數民意： 1.國會監督機制：一年內完成「兩岸協議監督條例」立法，讓兩岸各項對話、各項協議都攤在陽光下，讓人民充分監督。 2.司法監督機制：面對兩岸擴大交流，建立必要的社會安全網，強化檢、調、審的人力與資源，並確保司法獨立、公正的運作，建立獨立、公正、強大的司法隊伍監督各級政府，包括我自己。 3.青年監督機制：在總統府設置青年兩岸事務委員會，成員由18歲至40歲青年組成，由總統聽取相關意見，並確保立法院、行政院把青年的意見落實在兩岸政策。 為了確保國家與人民的安全，我也會以「四個戰略縱深主軸」來推動，分別為：國防、對話、執法、經濟。 1.國防戰略縱深：就職後10個月內公布《中華民國國家安全戰略》，將「3D戰略」進一步具體化，達到「促進繁榮」、「確保民主」與「強化安全」之目標。 2.對話戰略縱深：就任一年內重啟兩會對話協商，全面恢復民間交流。兩會對話是為了避免意外，並優先保障人權，解決民生問題，民間交流是為了要降低敵意、累積善意。 3.執法戰略縱深：除了落實既有的兩岸司法互助協議外，就任一年內擴大台灣和其他國家和地區的司法合作，特別是涉及到台灣、大陸和其他國家的司法合作，讓政府公權力成為台灣人民生命財產最堅實的保障。 4.經濟戰略縱深：除了積極爭取加入CPTPP、IPEF等重大區域貿易協定，就職一年內重啟ECFA平台解決貿易爭端的機制，在兩岸協議監督條例完成後，逐步推動下一步兩岸貿易談判。 透過兩大目標、三個監督管道與四個戰略縱深主軸，我所推動的兩岸關係，一定是在國家與人民安全的基礎上推動，堅持台灣的民主自由制度，兩岸關係至為重要，但是台灣的未來，絕對是由台灣的2300萬人民決定！,yes,民進黨,yes,民進黨,兩岸關係
320,65,houyuih,https://www.facebook.com/100044642490075/posts/924332702398138,2023-12-21 17:40:46 CST,眾將雲集！前進凱道！台灣平安、人民侯康凱道造勢晚會！ 民進黨執政八年，台灣社會陷入發展危機，人民期待政黨輪替的心情已經沸騰！2024年大選是戰爭與和平、民主與專制、清廉與貪腐的選擇，懇請全國民眾總統票投③支持侯友宜及趙少康，政黨票投⑨給中國國民黨最堅實的力量！ 2024總統大選進入倒數階段，侯友宜、趙少康及國民黨推薦的優秀同志需要大家的支持！12月23日侯友宜、趙少康邀請全國各地，支持侯康及國民黨的好朋友們，一同前往凱達格蘭大道向民進黨發出怒吼，並陪同侯康踏上前進總統府的最後一哩路！ 🔺時間：112年12月23日 晚間18:30開放進場 🔺地點：凱達格蘭大道 🔺電視轉播：東森超視、中視無線台 🔺網路直播：中天新聞YouTube頻道、ETtoday新聞雲Facebook粉絲專頁,yes,民進黨,yes,民進黨,
317,68,houyuih,https://www.facebook.com/100044642490075/posts/924369242394484,2023-12-21 21:00:02 CST,我的人生，歷經很多場的槍戰，大難不死，老天留我一條命，是要來捍衛中華民國青天白日，顧台灣的民主與自由。 中華民國是我的國家，台灣是咱的厝，我做事，只有是非黑白，不會胡作非為。 請民進黨，不要連我侯友宜都要抹紅！我強調，一定要加強國防，嚇阻戰爭，國家的領導人，一定要能備戰，不能引戰，「毋通草螟仔弄雞公」，甚至去做「相打雞仔」的事。 我走的，是反台獨，反一國兩制，對台灣未來最有利的中間路線，我堅持的是，台灣的未來，需要由兩三千百萬人共同決定。 台灣人民期待的是兩岸和平，不能因為我主張兩岸要和平、要交流，就把我抹紅成賣台，這不只是誣衊我，更是汙辱我們台灣人民的智慧！,yes,民進黨,yes,民進黨,民進黨抹紅侯友宜
308,77,houyuih,https://www.facebook.com/100044642490075/posts/925047998993275,2023-12-22 21:15:00 CST,今天是副總統候選人的政見發表會，趙少康的表現，如同大家對他的印象，思緒清晰、辯才無礙，不只符合水準，更是金句連連，我敢自信地說，毫無疑問，絕對是表現最好的一位。 三輪的發言中，少康兄以多年身為民意代表、在中央政府服務的專業經驗，以及擔任政治評論員的細膩觀察，一針見血地道出民進黨執政以來的缺失、所有基層民眾的辛苦，同時，也細數侯康提出的各項有感政見，告訴全體國人，我們不只是了解問題，更是要來解決問題，帶給台灣改變！ 我很高興，也很榮幸，能有一位如此有能力、有熱忱的副手。今天少康兄的一句「士為知己者死」，令我相當感動，少康兄不只是對我全力相挺，我們更會用毫無保留、全身奉獻的精神，一起為國家付出我們的所有，為大家拚更好的未來，顧好台灣，讓人民好康！,yes,民進黨,yes,民進黨,
